installment,grade,home_ownership,loan_status
359.32,B,MORTGAGE,Fully Paid
104.83,A,RENT,Fully Paid
316.24,C,MORTGAGE,Charged Off
400.52,A,RENT,Fully Paid
451.21,A,MORTGAGE,Fully Paid
790.88,F,MORTGAGE,Fully Paid
298.23,A,RENT,Charged Off
301.99,D,OWN,Fully Paid
195.55,A,MORTGAGE,Fully Paid
310.09,B,RENT,Charged Off
104.44,D,OWN,Fully Paid
228.27,A,RENT,Fully Paid
297,B,MORTGAGE,Fully Paid
466.67,A,MORTGAGE,Fully Paid
256.52,B,MORTGAGE,Fully Paid
126,A,MORTGAGE,Charged Off
45.66,A,MORTGAGE,Fully Paid
177.24,B,RENT,Fully Paid
580.05,B,MORTGAGE,Fully Paid
1111.37,A,MORTGAGE,Fully Paid
777.78,A,RENT,Fully Paid
317.54,A,OWN,Fully Paid
838.63,B,MORTGAGE,Fully Paid
130.67,A,RENT,Fully Paid
992.28,B,MORTGAGE,Fully Paid
733.76,A,MORTGAGE,Fully Paid
325.74,B,RENT,Fully Paid
157.93,C,RENT,Fully Paid
892.04,C,RENT,Fully Paid
221.67,A,MORTGAGE,Fully Paid
127.94,D,RENT,Fully Paid
161.13,B,OWN,Fully Paid
396.92,B,OWN,Fully Paid
392.59,E,OWN,Fully Paid
155.56,A,OWN,Fully Paid
750.97,A,MORTGAGE,Fully Paid
944.71,F,RENT,Charged Off
352.33,A,MORTGAGE,Fully Paid
298.33,B,RENT,Fully Paid
278.49,A,MORTGAGE,Fully Paid
171.47,A,RENT,Fully Paid
876.13,A,MORTGAGE,Fully Paid
489.27,B,MORTGAGE,Fully Paid
107.97,F,RENT,Charged Off
399.97,D,RENT,Fully Paid
466.67,A,RENT,Fully Paid
159.66,A,MORTGAGE,Fully Paid
121.8,C,OWN,Fully Paid
138.17,A,RENT,Fully Paid
381.04,A,RENT,Charged Off
658.36,F,MORTGAGE,Charged Off
219.04,A,RENT,Fully Paid
805.17,C,MORTGAGE,Fully Paid
42.37,D,RENT,Fully Paid
376.12,A,MORTGAGE,Fully Paid
238.15,B,MORTGAGE,Fully Paid
70.61,D,OWN,Fully Paid
517.64,B,MORTGAGE,Fully Paid
478.64,C,MORTGAGE,Fully Paid
121.75,A,MORTGAGE,Fully Paid
242.75,A,MORTGAGE,Fully Paid
334.16,B,RENT,Fully Paid
877.82,F,MORTGAGE,Fully Paid
197.84,A,MORTGAGE,Fully Paid
269.11,A,MORTGAGE,Fully Paid
345.08,C,RENT,Fully Paid
728.91,C,MORTGAGE,Fully Paid
782.26,A,RENT,Fully Paid
243.49,A,RENT,Fully Paid
1013.81,A,RENT,Fully Paid
304.36,A,MORTGAGE,Fully Paid
302.2,B,MORTGAGE,Fully Paid
491.16,C,MORTGAGE,Fully Paid
585.47,D,MORTGAGE,Fully Paid
257.8,B,MORTGAGE,Fully Paid
277.87,A,MORTGAGE,Fully Paid
536.72,B,RENT,Fully Paid
668.31,B,MORTGAGE,Fully Paid
177.79,B,MORTGAGE,Fully Paid
453.44,E,RENT,Charged Off
395.67,A,MORTGAGE,Fully Paid
560.78,B,MORTGAGE,Fully Paid
277.84,B,RENT,Fully Paid
564.87,B,MORTGAGE,Fully Paid
40.26,B,MORTGAGE,Fully Paid
503.32,D,RENT,Charged Off
476.3,B,RENT,Charged Off
214.93,A,RENT,Fully Paid
330.76,B,MORTGAGE,Fully Paid
221.07,A,MORTGAGE,Fully Paid
270.2,A,RENT,Fully Paid
336,A,MORTGAGE,Fully Paid
912.58,D,MORTGAGE,Charged Off
190.02,C,RENT,Fully Paid
241.46,C,MORTGAGE,Charged Off
407.17,B,RENT,Fully Paid
725.95,E,MORTGAGE,Fully Paid
273.92,A,MORTGAGE,Fully Paid
165.74,B,RENT,Fully Paid
331.48,B,MORTGAGE,Fully Paid
299.07,C,RENT,Fully Paid
33.94,C,RENT,Fully Paid
456.54,A,MORTGAGE,Fully Paid
677.85,B,MORTGAGE,Fully Paid
142.04,A,MORTGAGE,Fully Paid
83.87,B,OWN,Fully Paid
176.79,B,MORTGAGE,Fully Paid
368.45,A,RENT,Fully Paid
773.44,B,MORTGAGE,Fully Paid
254.44,B,MORTGAGE,Fully Paid
786.01,B,OWN,Fully Paid
418.76,E,MORTGAGE,Fully Paid
368.08,B,MORTGAGE,Fully Paid
134.18,B,RENT,Fully Paid
467.23,E,RENT,Fully Paid
1243.85,D,MORTGAGE,Fully Paid
322.39,A,OWN,Fully Paid
277.84,B,MORTGAGE,Fully Paid
167.73,B,MORTGAGE,Fully Paid
306.36,D,RENT,Fully Paid
156.36,B,MORTGAGE,Fully Paid
326.67,A,MORTGAGE,Fully Paid
70.23,C,RENT,Fully Paid
165.38,B,RENT,Fully Paid
172.48,C,MORTGAGE,Charged Off
209.47,B,RENT,Fully Paid
729.49,E,RENT,Fully Paid
686.18,C,MORTGAGE,Fully Paid
219.04,A,MORTGAGE,Fully Paid
454.8,B,MORTGAGE,Fully Paid
175.69,C,RENT,Fully Paid
316.33,B,OWN,Fully Paid
128.9,B,MORTGAGE,Fully Paid
517.41,A,MORTGAGE,Fully Paid
369.42,E,RENT,Fully Paid
248.72,C,MORTGAGE,Fully Paid
365.23,A,MORTGAGE,Fully Paid
329.37,C,RENT,Charged Off
386.7,B,RENT,Fully Paid
368.45,A,MORTGAGE,Fully Paid
62.59,A,MORTGAGE,Fully Paid
481.57,E,MORTGAGE,Fully Paid
243.49,A,MORTGAGE,Fully Paid
540.61,E,MORTGAGE,Fully Paid
246.6,E,RENT,Fully Paid
913.57,C,MORTGAGE,Fully Paid
153.52,A,RENT,Fully Paid
603.92,B,OWN,Fully Paid
312.71,B,RENT,Fully Paid
261.73,D,RENT,Charged Off
471.1,E,MORTGAGE,Charged Off
152.18,A,MORTGAGE,Fully Paid
353.58,B,RENT,Fully Paid
494.27,E,MORTGAGE,Fully Paid
1078.27,D,MORTGAGE,Fully Paid
228.63,A,RENT,Fully Paid
456.54,A,MORTGAGE,Fully Paid
319.17,A,MORTGAGE,Fully Paid
197.56,A,MORTGAGE,Fully Paid
406.78,A,RENT,Fully Paid
130.3,B,RENT,Fully Paid
49.62,B,RENT,Fully Paid
902.3,B,RENT,Fully Paid
137.98,C,RENT,Charged Off
265.18,B,RENT,Fully Paid
651.47,B,MORTGAGE,Fully Paid
197.56,A,MORTGAGE,Fully Paid
670.9,B,RENT,Fully Paid
251.66,D,RENT,Fully Paid
304.08,B,MORTGAGE,Fully Paid
624.95,D,MORTGAGE,Fully Paid
307.43,B,OWN,Fully Paid
562.3,B,RENT,Fully Paid
258.82,B,RENT,Charged Off
501.23,B,RENT,Fully Paid
325.74,B,MORTGAGE,Fully Paid
531.94,A,RENT,Fully Paid
61.41,A,RENT,Fully Paid
374.54,C,OWN,Fully Paid
702.26,C,MORTGAGE,Fully Paid
809.75,F,MORTGAGE,Fully Paid
671.07,B,MORTGAGE,Charged Off
255.66,A,MORTGAGE,Fully Paid
662.95,B,RENT,Charged Off
66.84,B,RENT,Fully Paid
203.59,C,MORTGAGE,Fully Paid
86.21,B,RENT,Fully Paid
265.18,B,MORTGAGE,Charged Off
325.74,B,MORTGAGE,Fully Paid
105.78,A,RENT,Fully Paid
124.45,A,RENT,Fully Paid
468.17,C,RENT,Fully Paid
64.45,B,RENT,Fully Paid
265.09,A,RENT,Fully Paid
411.71,C,MORTGAGE,Fully Paid
769.57,B,RENT,Fully Paid
617.13,E,RENT,Charged Off
605.5,B,MORTGAGE,Fully Paid
743.49,B,MORTGAGE,Fully Paid
159.56,A,MORTGAGE,Fully Paid
815.95,D,MORTGAGE,Fully Paid
364.15,B,MORTGAGE,Fully Paid
162.87,B,RENT,Fully Paid
170.44,A,RENT,Fully Paid
501.23,B,RENT,Fully Paid
254.3,D,OWN,Charged Off
115.78,A,RENT,Fully Paid
63.51,A,RENT,Fully Paid
590.17,C,RENT,Charged Off
307.04,A,RENT,Charged Off
220.09,B,MORTGAGE,Fully Paid
222.28,A,RENT,Fully Paid
128.9,B,RENT,Fully Paid
531.94,A,MORTGAGE,Fully Paid
109.57,A,RENT,Fully Paid
219.14,A,OWN,Fully Paid
121.75,A,MORTGAGE,Fully Paid
992.28,B,RENT,Fully Paid
625.81,A,MORTGAGE,Fully Paid
637.45,D,MORTGAGE,Fully Paid
337.38,B,RENT,Fully Paid
156.46,A,RENT,Charged Off
304.36,A,MORTGAGE,Fully Paid
1111.37,A,OWN,Fully Paid
267.56,A,RENT,Fully Paid
273.92,A,MORTGAGE,Fully Paid
721.77,B,MORTGAGE,Fully Paid
500.24,B,RENT,Fully Paid
325.95,B,RENT,Charged Off
291.57,C,RENT,Fully Paid
571.26,D,RENT,Fully Paid
165.38,B,MORTGAGE,Fully Paid
476.3,B,MORTGAGE,Fully Paid
694.6,B,MORTGAGE,Fully Paid
349.29,A,RENT,Fully Paid
454.56,B,RENT,Fully Paid
307.04,A,OWN,Fully Paid
201.89,C,MORTGAGE,Fully Paid
848.27,C,MORTGAGE,Charged Off
146.2,B,RENT,Fully Paid
153.52,A,MORTGAGE,Fully Paid
134.55,A,MORTGAGE,Fully Paid
60.75,C,RENT,Charged Off
323.38,A,MORTGAGE,Fully Paid
125.83,D,RENT,Charged Off
325.67,A,RENT,Fully Paid
760.82,B,MORTGAGE,Fully Paid
448.51,B,MORTGAGE,Fully Paid
367.11,A,MORTGAGE,Fully Paid
213.05,A,MORTGAGE,Fully Paid
91.31,A,MORTGAGE,Fully Paid
158.77,A,MORTGAGE,Fully Paid
134.18,B,RENT,Fully Paid
93.64,C,MORTGAGE,Fully Paid
195.44,B,RENT,Fully Paid
814.34,C,MORTGAGE,Fully Paid
38.67,B,RENT,Fully Paid
254.69,B,MORTGAGE,Fully Paid
213.05,A,MORTGAGE,Fully Paid
412.57,C,RENT,Fully Paid
171.95,A,MORTGAGE,Fully Paid
593.68,B,MORTGAGE,Fully Paid
710.77,D,RENT,Charged Off
643.58,E,RENT,Charged Off
153.52,A,MORTGAGE,Fully Paid
140.46,C,RENT,Fully Paid
367.11,C,MORTGAGE,Fully Paid
444.36,A,RENT,Fully Paid
225.29,A,MORTGAGE,Fully Paid
254.88,A,MORTGAGE,Fully Paid
284.7,B,MORTGAGE,Fully Paid
102.67,A,MORTGAGE,Fully Paid
79.09,B,RENT,Fully Paid
194.45,A,MORTGAGE,Charged Off
206.07,A,MORTGAGE,Charged Off
195.44,B,OWN,Fully Paid
365.23,A,MORTGAGE,Fully Paid
206.97,A,MORTGAGE,Fully Paid
335.05,C,MORTGAGE,Fully Paid
117.05,C,MORTGAGE,Fully Paid
212.15,B,MORTGAGE,Charged Off
457.25,A,MORTGAGE,Fully Paid
49.46,D,OWN,Fully Paid
173.99,C,RENT,Charged Off
152.18,A,MORTGAGE,Fully Paid
284.31,D,RENT,Fully Paid
197.84,A,MORTGAGE,Fully Paid
152.18,A,RENT,Fully Paid
396.92,B,RENT,Fully Paid
124.45,A,RENT,Charged Off
60.88,A,MORTGAGE,Fully Paid
38.67,B,RENT,Charged Off
67.38,B,OWN,Fully Paid
196.87,A,RENT,Fully Paid
952.39,F,MORTGAGE,Charged Off
183.38,A,MORTGAGE,Fully Paid
441.97,B,RENT,Fully Paid
291.95,B,MORTGAGE,Fully Paid
95.26,A,RENT,Fully Paid
563.23,A,RENT,Fully Paid
234.09,C,OWN,Fully Paid
62.59,A,RENT,Fully Paid
258.82,B,MORTGAGE,Fully Paid
307.04,A,MORTGAGE,Fully Paid
158.77,B,RENT,Fully Paid
310.12,B,RENT,Charged Off
326.92,D,RENT,Fully Paid
469.36,A,RENT,Fully Paid
155.56,A,RENT,Fully Paid
67.87,C,RENT,Fully Paid
282.66,E,OWN,Fully Paid
467.82,B,MORTGAGE,Fully Paid
395.04,A,MORTGAGE,Charged Off
169.66,C,RENT,Fully Paid
381.62,F,RENT,Fully Paid
167.73,B,RENT,Fully Paid
639.26,E,MORTGAGE,Fully Paid
330.76,B,RENT,Fully Paid
227.11,A,MORTGAGE,Fully Paid
563.23,A,MORTGAGE,Fully Paid
322.25,B,MORTGAGE,Fully Paid
130.3,B,RENT,Fully Paid
737.99,B,RENT,Fully Paid
105.42,C,MORTGAGE,Charged Off
488.6,C,RENT,Fully Paid
118.91,A,RENT,Fully Paid
62.59,A,RENT,Charged Off
376.19,F,RENT,Charged Off
335.45,B,RENT,Fully Paid
400.99,B,RENT,Fully Paid
159.03,B,MORTGAGE,Fully Paid
535.83,B,OWN,Charged Off
264.45,A,MORTGAGE,Fully Paid
296.75,D,MORTGAGE,Fully Paid
89.03,D,MORTGAGE,Fully Paid
970.69,B,OWN,Fully Paid
312.91,A,MORTGAGE,Fully Paid
243.49,A,RENT,Fully Paid
176.13,B,MORTGAGE,Fully Paid
234.68,A,MORTGAGE,Fully Paid
368.45,A,MORTGAGE,Charged Off
587.19,D,RENT,Fully Paid
76.09,A,MORTGAGE,Fully Paid
167.73,B,OWN,Fully Paid
490.88,D,MORTGAGE,Fully Paid
561.44,B,MORTGAGE,Fully Paid
101.8,C,RENT,Fully Paid
510.6,D,RENT,Charged Off
152.18,A,MORTGAGE,Fully Paid
992.28,B,MORTGAGE,Fully Paid
308.92,E,MORTGAGE,Charged Off
130.3,B,MORTGAGE,Fully Paid
386.7,B,RENT,Fully Paid
60.15,B,MORTGAGE,Fully Paid
389.51,C,OWN,Fully Paid
92.02,C,RENT,Fully Paid
574.55,C,MORTGAGE,Fully Paid
304.36,A,MORTGAGE,Fully Paid
388.23,B,RENT,Charged Off
156.44,C,RENT,Fully Paid
225.23,A,RENT,Fully Paid
307.04,A,RENT,Fully Paid
276.06,C,RENT,Charged Off
65.15,B,RENT,Fully Paid
199.85,C,RENT,Fully Paid
262.84,A,RENT,Fully Paid
447.96,D,MORTGAGE,Fully Paid
329.98,D,MORTGAGE,Charged Off
542.89,C,MORTGAGE,Fully Paid
516.29,A,RENT,Fully Paid
1257.98,D,MORTGAGE,Fully Paid
271.45,C,RENT,Fully Paid
474.61,C,MORTGAGE,Fully Paid
373.05,A,OWN,Fully Paid
224,A,OWN,Fully Paid
186.62,C,MORTGAGE,Fully Paid
585.22,C,MORTGAGE,Fully Paid
366.42,E,MORTGAGE,Fully Paid
246.42,B,MORTGAGE,Fully Paid
169.66,C,RENT,Fully Paid
187.75,A,OWN,Fully Paid
429.38,B,RENT,Fully Paid
469.63,B,RENT,Fully Paid
214.61,B,RENT,Fully Paid
398.03,D,RENT,Fully Paid
332.71,B,MORTGAGE,Fully Paid
351.13,C,MORTGAGE,Fully Paid
202.23,A,RENT,Fully Paid
182.62,A,OWN,Fully Paid
303.43,A,MORTGAGE,Fully Paid
377.49,D,RENT,Fully Paid
78.18,B,RENT,Fully Paid
443.14,B,MORTGAGE,Fully Paid
155.56,A,MORTGAGE,Fully Paid
398.79,B,MORTGAGE,Fully Paid
350.61,C,MORTGAGE,Fully Paid
208.79,C,OWN,Fully Paid
496.74,A,MORTGAGE,Fully Paid
635.07,A,MORTGAGE,Fully Paid
967.86,F,MORTGAGE,Charged Off
165.29,C,MORTGAGE,Charged Off
280.39,B,OWN,Fully Paid
263.34,F,RENT,Fully Paid
343.89,A,RENT,Fully Paid
521.18,B,MORTGAGE,Fully Paid
57.01,B,MORTGAGE,Fully Paid
155.23,C,MORTGAGE,Charged Off
543.22,E,MORTGAGE,Fully Paid
127.94,D,RENT,Fully Paid
110.02,E,RENT,Charged Off
589.47,B,MORTGAGE,Fully Paid
527.06,C,MORTGAGE,Fully Paid
382.95,D,MORTGAGE,Fully Paid
542.28,B,MORTGAGE,Fully Paid
184.23,A,RENT,Fully Paid
190.52,A,MORTGAGE,Fully Paid
352.61,B,RENT,Fully Paid
265.97,A,RENT,Fully Paid
66.84,B,RENT,Fully Paid
353.58,B,MORTGAGE,Fully Paid
30.71,A,MORTGAGE,Charged Off
395.67,A,MORTGAGE,Fully Paid
65.15,B,RENT,Fully Paid
281.62,A,MORTGAGE,Fully Paid
307.04,A,RENT,Fully Paid
460.56,A,OWN,Fully Paid
196.77,C,RENT,Fully Paid
474.51,B,OWN,Fully Paid
690.15,C,MORTGAGE,Fully Paid
138.17,A,RENT,Fully Paid
256.67,B,OWN,Fully Paid
355.45,A,RENT,Fully Paid
242.97,C,MORTGAGE,Fully Paid
504.22,D,RENT,Fully Paid
222.28,A,MORTGAGE,Fully Paid
276.06,C,MORTGAGE,Fully Paid
805.17,C,RENT,Fully Paid
344.95,C,MORTGAGE,Fully Paid
225.58,B,MORTGAGE,Fully Paid
64.45,B,RENT,Charged Off
133.37,A,RENT,Fully Paid
296.75,D,MORTGAGE,Charged Off
716.62,B,MORTGAGE,Fully Paid
298.67,C,MORTGAGE,Charged Off
134.33,A,MORTGAGE,Fully Paid
234.53,B,RENT,Fully Paid
34.8,C,MORTGAGE,Charged Off
472.14,C,MORTGAGE,Fully Paid
42.61,A,MORTGAGE,Fully Paid
621.59,D,MORTGAGE,Fully Paid
539.14,D,MORTGAGE,Fully Paid
850.39,C,RENT,Fully Paid
769.57,B,MORTGAGE,Charged Off
454.45,B,MORTGAGE,Charged Off
146.69,E,RENT,Fully Paid
418.93,B,RENT,Fully Paid
513.95,A,MORTGAGE,Fully Paid
228.02,B,MORTGAGE,Fully Paid
911.69,G,MORTGAGE,Fully Paid
527.06,C,MORTGAGE,Fully Paid
247.11,D,RENT,Charged Off
311.11,A,MORTGAGE,Fully Paid
198.46,B,RENT,Fully Paid
122.82,A,RENT,Fully Paid
300.9,A,MORTGAGE,Fully Paid
88.26,D,RENT,Fully Paid
564.87,B,MORTGAGE,Charged Off
671.86,E,MORTGAGE,Charged Off
241.53,B,RENT,Fully Paid
614.08,A,OWN,Fully Paid
516.89,G,MORTGAGE,Fully Paid
128.9,B,RENT,Fully Paid
1094.23,E,MORTGAGE,Fully Paid
1095.16,A,MORTGAGE,Fully Paid
414.6,A,OWN,Fully Paid
190.52,A,MORTGAGE,Fully Paid
322.25,B,MORTGAGE,Fully Paid
320.43,B,RENT,Fully Paid
847.96,G,RENT,Fully Paid
233.34,A,RENT,Fully Paid
338.89,D,RENT,Fully Paid
85.22,A,MORTGAGE,Fully Paid
1229.81,C,MORTGAGE,Fully Paid
202.75,B,MORTGAGE,Fully Paid
159.66,A,RENT,Fully Paid
393.01,A,MORTGAGE,Fully Paid
60.42,D,MORTGAGE,Fully Paid
248.89,A,MORTGAGE,Fully Paid
331.92,B,RENT,Fully Paid
307.24,C,RENT,Fully Paid
625.81,A,RENT,Fully Paid
361.74,G,MORTGAGE,Charged Off
211.28,C,OWN,Fully Paid
488.05,B,MORTGAGE,Charged Off
152.18,A,MORTGAGE,Fully Paid
171.55,C,OWN,Fully Paid
85.34,B,MORTGAGE,Fully Paid
478.64,C,RENT,Fully Paid
167.73,B,RENT,Fully Paid
182.62,A,RENT,Fully Paid
552.12,C,RENT,Fully Paid
156.46,A,MORTGAGE,Fully Paid
243.49,A,MORTGAGE,Fully Paid
64.48,A,MORTGAGE,Fully Paid
284.7,B,RENT,Charged Off
41.9,B,RENT,Fully Paid
814.34,B,MORTGAGE,Fully Paid
412.48,B,MORTGAGE,Fully Paid
76.76,A,MORTGAGE,Fully Paid
735.26,D,MORTGAGE,Fully Paid
736.89,A,MORTGAGE,Fully Paid
158.77,B,RENT,Fully Paid
938.71,A,MORTGAGE,Fully Paid
377.49,D,MORTGAGE,Charged Off
150.98,B,OWN,Fully Paid
500.65,A,RENT,Fully Paid
510.6,D,RENT,Fully Paid
124.45,A,MORTGAGE,Fully Paid
194.12,B,MORTGAGE,Fully Paid
50.9,C,MORTGAGE,Fully Paid
206.97,C,MORTGAGE,Fully Paid
68.62,C,MORTGAGE,Fully Paid
53.93,B,RENT,Fully Paid
933.14,E,MORTGAGE,Fully Paid
104.4,C,RENT,Fully Paid
595.37,B,MORTGAGE,Fully Paid
200.5,B,RENT,Fully Paid
307.04,A,RENT,Fully Paid
426.1,A,MORTGAGE,Fully Paid
596.66,B,MORTGAGE,Fully Paid
190.52,A,MORTGAGE,Fully Paid
426.1,A,RENT,Fully Paid
134.55,A,MORTGAGE,Fully Paid
365.23,A,OWN,Fully Paid
279.43,A,RENT,Fully Paid
448.6,C,MORTGAGE,Fully Paid
304.36,A,MORTGAGE,Fully Paid
488.05,B,OWN,Fully Paid
338.93,B,MORTGAGE,Fully Paid
137.98,C,OWN,Fully Paid
156.46,A,RENT,Fully Paid
311,C,RENT,Fully Paid
423.61,D,MORTGAGE,Charged Off
1006.35,B,MORTGAGE,Fully Paid
921.11,A,MORTGAGE,Fully Paid
558.29,D,MORTGAGE,Charged Off
938.71,A,MORTGAGE,Fully Paid
973.64,F,MORTGAGE,Charged Off
125.26,D,RENT,Fully Paid
94.43,C,RENT,Charged Off
221.42,A,MORTGAGE,Fully Paid
216.72,A,MORTGAGE,Fully Paid
761.92,F,RENT,Charged Off
152.18,A,MORTGAGE,Fully Paid
453.65,A,MORTGAGE,Fully Paid
380.45,A,MORTGAGE,Fully Paid
182.62,A,OWN,Fully Paid
460.1,C,MORTGAGE,Fully Paid
701.73,B,MORTGAGE,Fully Paid
368.45,A,MORTGAGE,Fully Paid
31.3,A,RENT,Fully Paid
966.75,B,MORTGAGE,Fully Paid
182.62,A,MORTGAGE,Fully Paid
127.02,A,RENT,Fully Paid
678.61,C,RENT,Fully Paid
152.69,C,RENT,Fully Paid
250.33,A,RENT,Fully Paid
363.4,E,MORTGAGE,Fully Paid
62.59,A,MORTGAGE,Fully Paid
379.9,B,RENT,Fully Paid
86.24,C,MORTGAGE,Fully Paid
1276.6,E,RENT,Fully Paid
210.83,C,RENT,Fully Paid
158.77,A,MORTGAGE,Fully Paid
221.07,A,MORTGAGE,Fully Paid
278.39,C,RENT,Charged Off
596.66,B,MORTGAGE,Fully Paid
330.76,B,RENT,Charged Off
200.5,B,MORTGAGE,Fully Paid
248.24,B,MORTGAGE,Fully Paid
199.02,D,RENT,Fully Paid
334.52,C,MORTGAGE,Charged Off
668.67,B,OWN,Fully Paid
125.17,A,MORTGAGE,Fully Paid
362.97,B,MORTGAGE,Fully Paid
221.07,A,OWN,Fully Paid
110.54,A,RENT,Charged Off
195.44,B,MORTGAGE,Fully Paid
530.07,B,OWN,Fully Paid
318.05,B,MORTGAGE,Fully Paid
268.36,B,RENT,Fully Paid
237.26,B,RENT,Fully Paid
337.84,A,RENT,Fully Paid
345.08,C,MORTGAGE,Fully Paid
417.58,C,RENT,Fully Paid
243.49,A,RENT,Fully Paid
330.76,B,RENT,Fully Paid
160.4,B,MORTGAGE,Fully Paid
238.15,B,RENT,Charged Off
69.6,C,MORTGAGE,Fully Paid
182.62,A,RENT,Fully Paid
475.99,E,MORTGAGE,Fully Paid
201.89,C,RENT,Fully Paid
187.75,A,RENT,Charged Off
125.28,C,RENT,Fully Paid
93.34,A,MORTGAGE,Fully Paid
772.29,E,RENT,Charged Off
198.46,B,OWN,Fully Paid
100.25,B,MORTGAGE,Fully Paid
158.77,A,MORTGAGE,Fully Paid
508.06,A,MORTGAGE,Fully Paid
497.43,C,RENT,Charged Off
281.62,A,RENT,Fully Paid
101.8,C,RENT,Charged Off
391.08,C,MORTGAGE,Fully Paid
347.8,B,RENT,Fully Paid
374.59,B,RENT,Fully Paid
344.95,C,MORTGAGE,Fully Paid
64.84,A,MORTGAGE,Fully Paid
213.24,D,RENT,Charged Off
283.2,A,MORTGAGE,Fully Paid
515.16,B,MORTGAGE,Fully Paid
472.14,C,MORTGAGE,Fully Paid
280.91,C,RENT,Charged Off
309,C,MORTGAGE,Fully Paid
303.43,A,MORTGAGE,Fully Paid
289.34,D,MORTGAGE,Fully Paid
50.9,C,RENT,Fully Paid
268.41,D,RENT,Fully Paid
1231.45,E,MORTGAGE,Fully Paid
383.03,A,MORTGAGE,Fully Paid
477.98,E,MORTGAGE,Charged Off
99.56,A,MORTGAGE,Fully Paid
926.13,B,MORTGAGE,Fully Paid
36.53,A,MORTGAGE,Fully Paid
300.39,A,RENT,Fully Paid
442.15,B,MORTGAGE,Fully Paid
210.91,E,MORTGAGE,Fully Paid
184.23,A,OWN,Fully Paid
238.15,A,MORTGAGE,Fully Paid
228.27,A,MORTGAGE,Fully Paid
210.92,D,MORTGAGE,Fully Paid
318.48,C,MORTGAGE,Fully Paid
244.1,B,MORTGAGE,Fully Paid
1112.9,C,MORTGAGE,Charged Off
302.52,C,MORTGAGE,Charged Off
312.58,C,RENT,Fully Paid
331.52,C,RENT,Fully Paid
52.17,C,RENT,Fully Paid
241.28,A,MORTGAGE,Fully Paid
253.84,A,MORTGAGE,Fully Paid
1139.08,B,OWN,Fully Paid
103.24,D,RENT,Fully Paid
600.17,C,MORTGAGE,Charged Off
180.96,A,MORTGAGE,Charged Off
717.95,D,RENT,Fully Paid
690.15,C,RENT,Fully Paid
239.11,C,MORTGAGE,Fully Paid
545.96,C,MORTGAGE,Fully Paid
287.18,D,RENT,Fully Paid
341.22,C,RENT,Fully Paid
130.18,B,RENT,Fully Paid
622.71,B,MORTGAGE,Fully Paid
349.7,D,RENT,Fully Paid
237.4,B,MORTGAGE,Fully Paid
322.63,B,RENT,Fully Paid
478.22,C,MORTGAGE,Fully Paid
105.46,D,RENT,Fully Paid
244.08,B,MORTGAGE,Fully Paid
263.78,B,MORTGAGE,Fully Paid
401.83,B,MORTGAGE,Charged Off
744.26,C,MORTGAGE,Fully Paid
196.04,A,MORTGAGE,Fully Paid
241.28,A,MORTGAGE,Fully Paid
165.88,A,MORTGAGE,Fully Paid
473.45,A,RENT,Fully Paid
506.97,F,MORTGAGE,Fully Paid
260.44,A,MORTGAGE,Fully Paid
723.11,E,RENT,Fully Paid
1145.69,B,MORTGAGE,Fully Paid
71.28,D,RENT,Fully Paid
66.72,B,MORTGAGE,Fully Paid
243.43,D,RENT,Fully Paid
91.26,A,RENT,Fully Paid
157.82,A,RENT,Fully Paid
315.63,A,RENT,Fully Paid
171.06,A,MORTGAGE,Fully Paid
435.43,A,MORTGAGE,Charged Off
346.25,B,MORTGAGE,Charged Off
251.17,D,MORTGAGE,Fully Paid
193.58,B,RENT,Fully Paid
133.12,E,RENT,Charged Off
221.31,B,RENT,Fully Paid
180.96,A,MORTGAGE,Fully Paid
272.98,C,MORTGAGE,Fully Paid
478.09,B,RENT,Fully Paid
581.58,C,MORTGAGE,Charged Off
148.19,A,RENT,Fully Paid
640.16,E,MORTGAGE,Fully Paid
310.16,B,MORTGAGE,Fully Paid
463.09,A,MORTGAGE,Fully Paid
280.47,A,MORTGAGE,Fully Paid
182.51,A,MORTGAGE,Fully Paid
338.76,B,MORTGAGE,Fully Paid
491.59,D,MORTGAGE,Fully Paid
248.82,A,MORTGAGE,Fully Paid
71.2,D,RENT,Fully Paid
124.22,B,RENT,Fully Paid
260.08,B,MORTGAGE,Fully Paid
392.81,B,MORTGAGE,Fully Paid
164.86,B,RENT,Charged Off
216.11,A,MORTGAGE,Fully Paid
389.01,D,RENT,Charged Off
434.75,B,RENT,Fully Paid
275.28,A,RENT,Fully Paid
80.66,B,RENT,Fully Paid
157.13,B,MORTGAGE,Fully Paid
329.72,B,MORTGAGE,Fully Paid
248.82,A,MORTGAGE,Fully Paid
73.07,B,RENT,Fully Paid
307.64,A,MORTGAGE,Fully Paid
365.01,A,MORTGAGE,Fully Paid
379.87,B,RENT,Fully Paid
406.21,E,MORTGAGE,Fully Paid
271.45,E,RENT,Charged Off
311.36,B,MORTGAGE,Charged Off
180.04,B,MORTGAGE,Fully Paid
284.16,C,RENT,Fully Paid
126.55,D,RENT,Fully Paid
452.4,A,MORTGAGE,Fully Paid
54.29,C,RENT,Fully Paid
124.41,A,MORTGAGE,Fully Paid
478.22,C,RENT,Fully Paid
186.61,A,OWN,Fully Paid
399.95,C,RENT,Fully Paid
149.29,A,RENT,Fully Paid
